candidate,total_votes
Joe Biden,82046434
Donald Trump,74585705
Jo Jorgensen,1874183
Howie Hawkins,404835
 Write-ins,254274
Rocky De La Fuente,88158
Gloria La Riva,85453
Kanye West,66367
Don Blankenship,59924
Brock Pierce,49552
Brian Carroll,25256
 None of these candidates,14079
Alyson Kennedy,6791
Bill Hammons,6647
Jerome Segal,5949
Dario Hunter,5367
Jade Simmons,5280
Phil Collins,4834
Joe McHugh,2843
Jesse Ventura,2673
Mark Charles,2011
Sheila Samm Tittle,1806
Connie Gammon,1475
John Richard Myers,1372
Brooke Paige,1175
President Boddie,1125
Christopher LaFontaine,856
Kyle Kopitke,815
Tom Hoefling,668
Ricki Sue King,546
Princess Jacob-Fambro,495
Blake Huber,409
Richard Duncan,213
Joseph Kishore,196
Jordan Scott,175
Gary Swing,141
Keith McCormic,126
Zachary Scalf,29
