year,Star Wars Sets,All Other Sets
1949,0,5
1950,0,6
1953,0,4
1954,0,14
1955,0,28
1956,0,13
1957,0,20
1958,0,47
1959,0,4
1960,0,3
1961,0,22
1962,0,14
1963,0,17
1964,0,18
1965,0,13
1966,0,110
1967,0,27
1968,0,39
1969,0,81
1970,0,37
1971,0,53
1972,0,39
1973,0,70
1974,0,40
1975,0,39
1976,0,76
1977,0,100
1978,0,77
1979,0,94
1980,0,102
1981,0,84
1982,0,84
1983,0,73
1984,0,95
1985,0,170
1986,0,159
1987,0,235
1988,0,81
1989,0,134
1990,0,113
1991,0,147
1992,0,138
1993,0,136
1994,0,165
1995,0,179
1996,0,199
1997,0,265
1998,0,387
1999,14,348
2000,25,391
2001,12,420
2002,28,550
2003,27,506
2004,20,439
2005,26,376
2006,9,385
2007,15,441
2008,21,426
2009,36,516
2010,28,509
2011,31,586
2012,41,685
2013,38,674
2014,45,738
2015,64,821
2016,62,848
2017,64,848
2018,68,845
2019,58,883
2020,45,884
2021,23,666
